# Points and calculations for parabola y^2 = 8x and circle x^2 + y^2 - 2x - 4y = 0
# P(0,0), Q(2,4), S(2,0) - focus of parabola
P 0.0 0.0
Q 2.0 4.0
S 2.0 0.0
Area 4.0
# Parabola points (y^2 = 8x)
PARABOLA 4.50 -6.00
PARABOLA 4.35 -5.90
PARABOLA 4.21 -5.80
PARABOLA 4.06 -5.70
PARABOLA 3.92 -5.60
PARABOLA 3.78 -5.50
PARABOLA 3.65 -5.40
PARABOLA 3.51 -5.30
PARABOLA 3.38 -5.20
PARABOLA 3.25 -5.10
PARABOLA 3.13 -5.00
PARABOLA 3.00 -4.90
PARABOLA 2.88 -4.80
PARABOLA 2.76 -4.70
PARABOLA 2.65 -4.60
PARABOLA 2.53 -4.50
PARABOLA 2.42 -4.40
PARABOLA 2.31 -4.30
PARABOLA 2.21 -4.20
PARABOLA 2.10 -4.10
PARABOLA 2.00 -4.00
PARABOLA 1.90 -3.90
PARABOLA 1.81 -3.80
PARABOLA 1.71 -3.70
PARABOLA 1.62 -3.60
PARABOLA 1.53 -3.50
PARABOLA 1.45 -3.40
PARABOLA 1.36 -3.30
PARABOLA 1.28 -3.20
PARABOLA 1.20 -3.10
PARABOLA 1.13 -3.00
PARABOLA 1.05 -2.90
PARABOLA 0.98 -2.80
PARABOLA 0.91 -2.70
PARABOLA 0.85 -2.60
PARABOLA 0.78 -2.50
PARABOLA 0.72 -2.40
PARABOLA 0.66 -2.30
PARABOLA 0.61 -2.20
PARABOLA 0.55 -2.10
PARABOLA 0.50 -2.00
PARABOLA 0.45 -1.90
PARABOLA 0.41 -1.80
PARABOLA 0.36 -1.70
PARABOLA 0.32 -1.60
PARABOLA 0.28 -1.50
PARABOLA 0.25 -1.40
PARABOLA 0.21 -1.30
PARABOLA 0.18 -1.20
PARABOLA 0.15 -1.10
PARABOLA 0.13 -1.00
PARABOLA 0.10 -0.90
PARABOLA 0.08 -0.80
PARABOLA 0.06 -0.70
PARABOLA 0.05 -0.60
PARABOLA 0.03 -0.50
PARABOLA 0.02 -0.40
PARABOLA 0.01 -0.30
PARABOLA 0.01 -0.20
PARABOLA 0.00 -0.10
PARABOLA 0.00 -0.00
PARABOLA 0.00 0.10
PARABOLA 0.00 0.20
PARABOLA 0.01 0.30
PARABOLA 0.02 0.40
PARABOLA 0.03 0.50
PARABOLA 0.04 0.60
PARABOLA 0.06 0.70
PARABOLA 0.08 0.80
PARABOLA 0.10 0.90
PARABOLA 0.12 1.00
PARABOLA 0.15 1.10
PARABOLA 0.18 1.20
PARABOLA 0.21 1.30
PARABOLA 0.24 1.40
PARABOLA 0.28 1.50
PARABOLA 0.32 1.60
PARABOLA 0.36 1.70
PARABOLA 0.40 1.80
PARABOLA 0.45 1.90
PARABOLA 0.50 2.00
PARABOLA 0.55 2.10
PARABOLA 0.60 2.20
PARABOLA 0.66 2.30
PARABOLA 0.72 2.40
PARABOLA 0.78 2.50
PARABOLA 0.84 2.60
PARABOLA 0.91 2.70
PARABOLA 0.98 2.80
PARABOLA 1.05 2.90
PARABOLA 1.12 3.00
PARABOLA 1.20 3.10
PARABOLA 1.28 3.20
